 Name,Email ID,Attendence,College Name,,CGPA,Speaking Skills,ML Knowledge,Placement Status
Ramita ,ramita@xyz.com,95%,"priyadarshini college of engineering, nagpur ",,7.8,5,5,0
Saloni,saloni@xyz.com,95%,"vidyalankar institute of technology, mumbai",,9.1,5,5,0
Aniket,aniket@xyz.com,95%,chhattisgarh swami vivekananda technical university teaching department bhilai,,6.9,4,4,0
Leena,leena@xyz.com,95%,silicon institute of technology,,8.4,2,2,0
Maria Christina ,mariachristina@xyz.com,95%,adhiyamaan college of engineering,,6.7,2,2,0
Varsha,varsha@xyz.com,95%,don bosco college of engineering fatorda goa,,9.2,2,2,0
Archana,archana@xyz.com,95%,pillai college of engineering new panvel,,7.3,2,2,0
AJAYKUMAR,ajaykumar@xyz.com,95%,st xavier's college ,,7.9,2,2,0
Anju,anju@xyz.com,95%,"vidyalankar institute of technology, mumbai",,9.9,4,4,0
semil,semil@xyz.com,95%,a. c. patil college of engineering,,7.6,2,2,0
Gaurav,gaurav@xyz.com,95%,wilson college ,,9.3,2,2,0
Namrata,namrata@xyz.com,95%,"ld college of engineering, ahmedabad, gujarat ",,6.4,3,3,0
Madhuri,madhuri@xyz.com,95%,dkte society's textile and engineering institute ichalkaranji,,8.4,2,2,0
Omkar,omkar@xyz.com,95%,"ld college of engineering, ahmedabad, gujarat ",,6.6,3,3,0
Priyanka,priyanka@xyz.com,95%,g h raisoni institut of engineering and technology pune,,7.8,2,2,0
Tejaswini ,tejaswini@xyz.com,95%,government polytechnic gandhinagar,,8.7,5,5,0
MOUSUMI,mousumi@xyz.com,95%,"b. k. birla college of arts, science & commerce (autonomous), kalyan",,7.2,4,4,0
Mansi,mansi@xyz.com,95%,"vishwakarma institute of technology, pune",,7.1,4,4,0
Sanjeev,sanjeev@xyz.com,95%,"kle society's college of bca, rls institute, belagavi",,8,3,3,0
Pritam ,pritam@xyz.com,95%,"priyadarshini college of engineering, nagpur ",,8.5,2,2,0
Kiran,kiran@xyz.com,95%,st.francis institute of technology,,8.5,4,4,0
Rajat,rajat@xyz.com,95%,new horizon institute of technology and management ,,9.1,5,5,0
suraj,suraj@xyz.com,95%,late g. n. sapkal college of engineering,,9.7,2,2,0
Capt Sachin,captsachin@xyz.com,95%,"symbiosis institute of technology, pune",,8.7,2,2,0
Dnyandeo,dnyandeo@xyz.com,95%,"mit academy of engineering ,alandi",,6.5,2,2,0
Swayam,swayam@xyz.com,95%,a. c. patil college of engineering,,8.8,5,5,0
Durga Prasad,durgaprasad@xyz.com,95%,wilson college ,,9.3,3,3,0
Debashish,debashish@xyz.com,95%,"ld college of engineering, ahmedabad, gujarat ",,7.6,4,4,0
Nansi,nansi@xyz.com,95%,dkte society's textile and engineering institute ichalkaranji,,6.5,5,5,0
Subhashree,subhashree@xyz.com,95%,"mit academy of engineering ,alandi",,8.7,4,4,0
Pratik ,pratik@xyz.com,95%,a. c. patil college of engineering,,9.1,4,4,0
Sanjukta,sanjukta@xyz.com,95%,wilson college ,,9.2,4,4,0
Prateek,prateek@xyz.com,95%,"ld college of engineering, ahmedabad, gujarat ",,7.3,5,5,0
SOUBHAGYA,soubhagya@xyz.com,95%,dkte society's textile and engineering institute ichalkaranji,,7.6,4,4,0
Sritam ,sritam@xyz.com,95%,"thakur institute of management studies, career development & research - [timscdr]",,7.1,4,4,0
Sagar,sagar@xyz.com,95%,lokmanya tilak college of engineering koparkhairane navi mumbai,,8.3,5,5,0
Aniket ,aniket@xyz.com,95%,"priyadarshini college of engineering, nagpur ",,9.2,4,4,0
Sanskruti,sanskruti@xyz.com,95%,"vidyalankar institute of technology, mumbai",,9.9,4,4,0
Om,om@xyz.com,95%,chhattisgarh swami vivekananda technical university teaching department bhilai,,9.3,3,3,0
Ashish ,ashish@xyz.com,95%,silicon institute of technology,,7.1,2,2,0
Dhammajyoti,dhammajyoti@xyz.com,95%,adhiyamaan college of engineering,,7.5,5,5,0
Adarsh,adarsh@xyz.com,95%,don bosco college of engineering fatorda goa,,7.3,2,2,0
Lekansh,lekansh@xyz.com,95%,pillai college of engineering new panvel,,7.4,2,2,0
Anusha,anusha@xyz.com,95%,st xavier's college ,,8.3,5,5,0
Asis,asis@xyz.com,95%,"vidyalankar institute of technology, mumbai",,7.4,3,3,0
M.H.SABOO,m.h.saboo@xyz.com,95%,a. c. patil college of engineering,,6.7,4,4,0
Aswini,aswini@xyz.com,95%,wilson college ,,7.3,3,3,0
Karan,karan@xyz.com,95%,"ld college of engineering, ahmedabad, gujarat ",,9.7,3,3,0
Souvik,souvik@xyz.com,95%,dkte society's textile and engineering institute ichalkaranji,,7.9,5,5,0
Sanjay,sanjay@xyz.com,95%,"ld college of engineering, ahmedabad, gujarat ",,7.2,2,2,0
Rushikesh,rushikesh@xyz.com,95%,g h raisoni institut of engineering and technology pune,,7.1,5,5,0
Bhumika ,bhumika@xyz.com,95%,government polytechnic gandhinagar,,8.7,4,4,0
VINAYKUMAR,vinaykumar@xyz.com,95%,"b. k. birla college of arts, science & commerce (autonomous), kalyan",,8.7,2,2,0
Aum,aum@xyz.com,95%,"vishwakarma institute of technology, pune",,8.2,2,2,0
Nandini,nandini@xyz.com,95%,"kle society's college of bca, rls institute, belagavi",,6.8,3,3,0
CHINMAYA KUMAR,chinmayakumar@xyz.com,95%,"priyadarshini college of engineering, nagpur ",,7.1,4,4,0
JAINAM,jainam@xyz.com,95%,st.francis institute of technology,,8.5,3,3,0
Priyansh,priyansh@xyz.com,95%,new horizon institute of technology and management ,,9.1,2,2,0
Subhasmita,subhasmita@xyz.com,95%,late g. n. sapkal college of engineering,,9.5,5,5,0
MAHENDRA,mahendra@xyz.com,95%,"symbiosis institute of technology, pune",,6.7,4,4,0
Gajanan ,gajanan@xyz.com,95%,"mit academy of engineering ,alandi",,6.7,3,3,0
Shalin,shalin@xyz.com,95%,a. c. patil college of engineering,,8.2,2,2,0
Aryan Pratyush,aryanpratyush@xyz.com,95%,wilson college ,,6.5,5,5,0
Panchal ,panchal@xyz.com,95%,"ld college of engineering, ahmedabad, gujarat ",,8.7,4,4,0
Jaykumar,jaykumar@xyz.com,95%,dkte society's textile and engineering institute ichalkaranji,,9.1,2,2,0
Sasank,sasank@xyz.com,95%,"mit academy of engineering ,alandi",,8.9,3,3,0
Mrunal,mrunal@xyz.com,95%,a. c. patil college of engineering,,7.4,5,5,0
Raj,raj@xyz.com,95%,wilson college ,,7.3,5,5,0
Nishtha,nishtha@xyz.com,95%,"ld college of engineering, ahmedabad, gujarat ",,8.6,4,4,0
Nita,nita@xyz.com,95%,dkte society's textile and engineering institute ichalkaranji,,9.2,4,4,0
Pragati,pragati@xyz.com,95%,"thakur institute of management studies, career development & research - [timscdr]",,7.8,2,2,0
Ankush,ankush@xyz.com,95%,lokmanya tilak college of engineering koparkhairane navi mumbai,,7.9,2,2,0
Dileep,dileep@xyz.com,95%,"priyadarshini college of engineering, nagpur ",,9.9,4,4,0
Nitesh,nitesh@xyz.com,95%,"vidyalankar institute of technology, mumbai",,8.1,5,5,0
Swetaparna ,swetaparna@xyz.com,95%,chhattisgarh swami vivekananda technical university teaching department bhilai,,9.5,3,3,0
Bs ,bs@xyz.com,95%,silicon institute of technology,,9.8,5,5,0
Sudhanshu,sudhanshu@xyz.com,95%,adhiyamaan college of engineering,,9.6,5,5,0
Ar. Priyanka,ar.priyanka@xyz.com,95%,don bosco college of engineering fatorda goa,,9.6,2,2,0
Omkar,omkar@xyz.com,95%,pillai college of engineering new panvel,,6.2,5,5,0
Karishma,karishma@xyz.com,95%,st xavier's college ,,9.1,3,3,0
Chetan,chetan@xyz.com,95%,"vidyalankar institute of technology, mumbai",,7.2,5,5,0
Chinmaya,chinmaya@xyz.com,95%,"priyadarshini college of engineering, nagpur ",,9.5,5,5,0
Dr.Mahendra Prasad,dr.mahendraprasad@xyz.com,95%,"vidyalankar institute of technology, mumbai",,6.8,4,4,0
Anjali,anjali@xyz.com,95%,chhattisgarh swami vivekananda technical university teaching department bhilai,,8.4,2,2,0
Paras,paras@xyz.com,95%,silicon institute of technology,,9.9,5,5,0
Saloni,saloni@xyz.com,95%,adhiyamaan college of engineering,,6.6,2,2,0
Jyotsna,jyotsna@xyz.com,95%,don bosco college of engineering fatorda goa,,6.7,2,2,0
Khushmita,khushmita@xyz.com,95%,pillai college of engineering new panvel,,7.6,3,3,0
Charandad,charandad@xyz.com,95%,st xavier's college ,,8.3,3,3,0
Ajit,ajit@xyz.com,95%,"vidyalankar institute of technology, mumbai",,6.3,4,4,0
Mahesh,mahesh@xyz.com,95%,government polytechnic gandhinagar,,8.9,3,3,0
Prajakta ,prajakta@xyz.com,95%,"b. k. birla college of arts, science & commerce (autonomous), kalyan",,9.5,2,2,0
Subhalaxmi,subhalaxmi@xyz.com,95%,"vishwakarma institute of technology, pune",,8.5,5,5,0
Sagar kumar ,sagarkumar@xyz.com,95%,"kle society's college of bca, rls institute, belagavi",,8.5,5,5,0
Toshal,toshal@xyz.com,95%,"priyadarshini college of engineering, nagpur ",,8.8,2,2,0
Namrata,namrata@xyz.com,95%,st.francis institute of technology,,7.9,3,3,0
Deepika,deepika@xyz.com,95%,new horizon institute of technology and management ,,7.5,2,2,0
Tushar,tushar@xyz.com,95%,late g. n. sapkal college of engineering,,8.3,2,2,0
shubham,shubham@xyz.com,95%,"symbiosis institute of technology, pune",,6.4,2,2,0
kalyani,kalyani@xyz.com,95%,"mit academy of engineering ,alandi",,7.5,5,5,0
Tejas,tejas@xyz.com,95%,a. c. patil college of engineering,,7.7,4,4,0
Gaurav Vitthal,gauravvitthal@xyz.com,95%,wilson college ,,9.9,4,4,0
Yash,yash@xyz.com,95%,"ld college of engineering, ahmedabad, gujarat ",,7.6,5,5,0
Nikunj,nikunj@xyz.com,95%,dkte society's textile and engineering institute ichalkaranji,,7.9,3,3,0
Madhulika,madhulika@xyz.com,95%,"thakur institute of management studies, career development & research - [timscdr]",,7.7,4,4,0
Neha,neha@xyz.com,95%,lokmanya tilak college of engineering koparkhairane navi mumbai,,7.4,4,4,0
Reshma ,reshma@xyz.com,95%,"priyadarshini college of engineering, nagpur ",,9.2,4,4,0
Aniket,aniket@xyz.com,95%,"vidyalankar institute of technology, mumbai",,7.6,2,2,0
Shubhankar,shubhankar@xyz.com,95%,chhattisgarh swami vivekananda technical university teaching department bhilai,,8.7,2,2,0
Shantanu,shantanu@xyz.com,95%,silicon institute of technology,,9.5,5,5,0
Murali,murali@xyz.com,95%,adhiyamaan college of engineering,,6.9,2,2,0
Neha,neha@xyz.com,95%,don bosco college of engineering fatorda goa,,9.2,4,4,0
Roy,roy@xyz.com,95%,pillai college of engineering new panvel,,6.9,5,5,0
Anshuman,anshuman@xyz.com,95%,st xavier's college ,,7.2,4,4,0
Butchi,butchi@xyz.com,95%,"vidyalankar institute of technology, mumbai",,7.5,4,4,0
Samyak,samyak@xyz.com,95%,"s.i.e.s. graduate school of technology, nerul, navi mumbai",,6.5,4,4,0
Minal,minal@xyz.com,95%,g h raisoni institut of engineering and technology pune,,7.5,3,3,0
Irshad Ahmed Tufel Ahmed ,irshadahmedtufelahmed@xyz.com,95%,government polytechnic gandhinagar,,6.9,3,3,0
Nimai,nimai@xyz.com,95%,"b. k. birla college of arts, science & commerce (autonomous), kalyan",,7.6,2,2,0
Gaurang,gaurang@xyz.com,95%,"vishwakarma institute of technology, pune",,6.5,5,5,0
Kishor,kishor@xyz.com,95%,"kle society's college of bca, rls institute, belagavi",,7.3,3,3,0
Sakshi,sakshi@xyz.com,95%,g h raisoni institut of engineering and technology pune,,6.7,2,2,0
Ashishkumar,ashishkumar@xyz.com,95%,government polytechnic gandhinagar,,8.7,2,2,0
Abhishek,abhishek@xyz.com,95%,"b. k. birla college of arts, science & commerce (autonomous), kalyan",,6.7,3,3,0
Swapnil,swapnil@xyz.com,95%,"vishwakarma institute of technology, pune",,9,4,4,0
Shivam,shivam@xyz.com,95%,"kle society's college of bca, rls institute, belagavi",,7.2,3,3,0
Abhisek,abhisek@xyz.com,95%,"priyadarshini college of engineering, nagpur ",,8.5,4,4,0
Aniket,aniket@xyz.com,95%,st.francis institute of technology,,6.5,2,2,0
Aniket,aniket@xyz.com,95%,new horizon institute of technology and management ,,6.6,2,2,0
Reshma ,reshma@xyz.com,95%,late g. n. sapkal college of engineering,,9.5,5,5,0
Aniket,aniket@xyz.com,95%,"symbiosis institute of technology, pune",,8.1,5,5,0
Shubhankar,shubhankar@xyz.com,95%,"mit academy of engineering ,alandi",,9.7,4,4,0
Shantanu,shantanu@xyz.com,95%,a. c. patil college of engineering,,9.3,4,4,0
Murali,murali@xyz.com,95%,wilson college ,,9.1,2,2,0
Neha,neha@xyz.com,95%,"ld college of engineering, ahmedabad, gujarat ",,7.6,4,4,0
Roy,roy@xyz.com,95%,dkte society's textile and engineering institute ichalkaranji,,7.8,2,2,0
Anshuman,anshuman@xyz.com,95%,"ld college of engineering, ahmedabad, gujarat ",,7.9,4,4,0
Murtaza Shabbir,murtazashabbir@xyz.com,95%,g h raisoni institut of engineering and technology pune,,8.5,3,3,0
Sultan,sultan@xyz.com,95%,government polytechnic gandhinagar,,8.7,5,5,0
siddhi,siddhi@xyz.com,95%,"b. k. birla college of arts, science & commerce (autonomous), kalyan",,8.3,4,4,0
Pravin,pravin@xyz.com,95%,"vishwakarma institute of technology, pune",,9.4,5,5,0
SHATRUGHAN,shatrughan@xyz.com,95%,"kle society's college of bca, rls institute, belagavi",,8.6,3,3,0
RASTRASANT TUKDOJI MAHARAJ,rastrasanttukdojimaharaj@xyz.com,95%,"priyadarshini college of engineering, nagpur ",,8.5,2,2,0
Beryl,beryl@xyz.com,95%,st.francis institute of technology,,9.1,2,2,0
AJAYKUMAR,ajaykumar@xyz.com,95%,new horizon institute of technology and management ,,7.7,2,2,0
Sakshi ,sakshi@xyz.com,95%,late g. n. sapkal college of engineering,,7.5,5,5,0
Vedprakash,vedprakash@xyz.com,95%,"symbiosis institute of technology, pune",,7.2,5,5,0
Alafiya,alafiya@xyz.com,95%,"mit academy of engineering ,alandi",,7.6,3,3,0
Aditya ,aditya@xyz.com,95%,a. c. patil college of engineering,,7.3,4,4,0
Abhishek,abhishek@xyz.com,95%,wilson college ,,7.3,2,2,0
sakshi,sakshi@xyz.com,95%,"ld college of engineering, ahmedabad, gujarat ",,9.4,2,2,0
Ruchita,ruchita@xyz.com,95%,dkte society's textile and engineering institute ichalkaranji,,6.6,5,5,0
Pinky,pinky@xyz.com,95%,"priyadarshini college of engineering, nagpur ",,6.6,2,2,0
Rehan,rehan@xyz.com,95%,"vidyalankar institute of technology, mumbai",,8.5,2,2,0
Aarti,aarti@xyz.com,95%,chhattisgarh swami vivekananda technical university teaching department bhilai,,7.7,3,3,0
Pawansing,pawansing@xyz.com,95%,silicon institute of technology,,8.1,4,4,0
Suhas,suhas@xyz.com,95%,adhiyamaan college of engineering,,7.9,2,2,0
Susan ,susan@xyz.com,95%,don bosco college of engineering fatorda goa,,7.1,2,2,0
Sushant,sushant@xyz.com,95%,pillai college of engineering new panvel,,8.3,5,5,0
Shivani,shivani@xyz.com,95%,st xavier's college ,,7.7,3,3,0
Sanghavi,sanghavi@xyz.com,95%,"vidyalankar institute of technology, mumbai",,8,3,3,0
Parth ,parth@xyz.com,95%,government polytechnic gandhinagar,,6.5,5,5,0
Swapnil,swapnil@xyz.com,95%,"b. k. birla college of arts, science & commerce (autonomous), kalyan",,9.4,3,3,0
Gururaj,gururaj@xyz.com,95%,"vishwakarma institute of technology, pune",,6.8,4,4,0
Anway shailesh,anwayshailesh@xyz.com,95%,"kle society's college of bca, rls institute, belagavi",,6.7,4,4,0
Bhikan,bhikan@xyz.com,95%,"priyadarshini college of engineering, nagpur ",,7.9,3,3,0
Dipali,dipali@xyz.com,95%,st.francis institute of technology,,9.3,3,3,0
Hrutik,hrutik@xyz.com,95%,new horizon institute of technology and management ,,6.9,2,2,0
Shruti,shruti@xyz.com,95%,late g. n. sapkal college of engineering,,8.9,5,5,0
Koustubh ,koustubh@xyz.com,95%,"symbiosis institute of technology, pune",,8.3,3,3,0
Bhavik,bhavik@xyz.com,95%,"mit academy of engineering ,alandi",,7.2,4,4,0
Vikrant,vikrant@xyz.com,95%,a. c. patil college of engineering,,8.1,4,4,0
Kanika,kanika@xyz.com,95%,wilson college ,,9.5,3,3,0
Mayank,mayank@xyz.com,95%,"ld college of engineering, ahmedabad, gujarat ",,9.6,2,2,0
Sharvari,sharvari@xyz.com,95%,dkte society's textile and engineering institute ichalkaranji,,7.5,3,3,0
Rahul,rahul@xyz.com,95%,"thakur institute of management studies, career development & research - [timscdr]",,7.9,4,4,0
Kamla,kamla@xyz.com,95%,lokmanya tilak college of engineering koparkhairane navi mumbai,,9.3,2,2,0
Dipannita,dipannita@xyz.com,95%,"priyadarshini college of engineering, nagpur ",,9.6,5,5,0
Paresh,paresh@xyz.com,95%,"vidyalankar institute of technology, mumbai",,9.1,5,5,0
Ritu,ritu@xyz.com,95%,chhattisgarh swami vivekananda technical university teaching department bhilai,,7.3,4,4,0
SHUBHANKAR,shubhankar@xyz.com,95%,silicon institute of technology,,7.5,5,5,0
Saurabh,saurabh@xyz.com,95%,adhiyamaan college of engineering,,7.6,3,3,0
Mayuresh,mayuresh@xyz.com,95%,don bosco college of engineering fatorda goa,,8,2,2,0
Dhrumil,dhrumil@xyz.com,95%,pillai college of engineering new panvel,,7.2,2,2,0
Sharvari,sharvari@xyz.com,95%,st xavier's college ,,9.1,5,5,0
Faheem,faheem@xyz.com,95%,"vidyalankar institute of technology, mumbai",,6.7,5,5,0
Bhoomika,bhoomika@xyz.com,95%,"s.i.e.s. graduate school of technology, nerul, navi mumbai",,7.1,5,5,0
RAJ,raj@xyz.com,95%,g h raisoni institut of engineering and technology pune,,7.1,4,4,0
Vibhav ,vibhav@xyz.com,95%,government polytechnic gandhinagar,,9.5,5,5,0
Nachiket,nachiket@xyz.com,95%,"b. k. birla college of arts, science & commerce (autonomous), kalyan",,9.2,5,5,0
Vedant ,vedant@xyz.com,95%,"vishwakarma institute of technology, pune",,7.9,3,3,0
Samiksha,samiksha@xyz.com,95%,"kle society's college of bca, rls institute, belagavi",,7.3,3,3,0
Tushar,tushar@xyz.com,95%,g h raisoni institut of engineering and technology pune,,7.3,4,4,0
Arya,arya@xyz.com,95%,government polytechnic gandhinagar,,7.8,5,5,0
Vallabh Ashish,vallabhashish@xyz.com,95%,"b. k. birla college of arts, science & commerce (autonomous), kalyan",,9.1,3,3,0
VenkataNarayana,venkatanarayana@xyz.com,95%,"vishwakarma institute of technology, pune",,6.9,2,2,0
Pooja ,pooja@xyz.com,95%,"kle society's college of bca, rls institute, belagavi",,8.4,2,2,0
Tushar,tushar@xyz.com,95%,"priyadarshini college of engineering, nagpur ",,6.7,3,3,0
Rupa,rupa@xyz.com,95%,st.francis institute of technology,,9.2,2,2,0
PUSHP LOCHAN,pushplochan@xyz.com,95%,new horizon institute of technology and management ,,7.3,2,2,0
Prajakta ,prajakta@xyz.com,95%,late g. n. sapkal college of engineering,,7.9,5,5,0
Akash,akash@xyz.com,95%,"symbiosis institute of technology, pune",,9.9,2,2,0
Devesh,devesh@xyz.com,95%,"mit academy of engineering ,alandi",,7.6,5,5,0
Sarthak,sarthak@xyz.com,95%,a. c. patil college of engineering,,9.3,2,2,0
Akshay,akshay@xyz.com,95%,wilson college ,,6.4,2,2,0
Amol,amol@xyz.com,95%,"ld college of engineering, ahmedabad, gujarat ",,8.4,3,3,0
Satyam,satyam@xyz.com,95%,dkte society's textile and engineering institute ichalkaranji,,6.6,3,3,0
Abhishek,abhishek@xyz.com,95%,"ld college of engineering, ahmedabad, gujarat ",,7.8,4,4,0
Samir,samir@xyz.com,95%,g h raisoni institut of engineering and technology pune,,8.7,3,3,0
Vikrant,vikrant@xyz.com,95%,government polytechnic gandhinagar,,7.2,4,4,0
Kundan,kundan@xyz.com,95%,"b. k. birla college of arts, science & commerce (autonomous), kalyan",,7.1,2,2,0
Elita,elita@xyz.com,95%,d y patil institute of mca and management akurdi pune,,8,5,5,0
Ajay,ajay@xyz.com,95%,ap shah institute of technology ,,8.5,5,5,0
Aditya,aditya@xyz.com,95%,don bosco college of engineering fatorda goa,,8.5,5,5,0
Kunal,kunal@xyz.com,95%,pillai college of engineering new panvel,,9.1,5,5,0
Chandani ,chandani@xyz.com,95%,st xavier's college ,,9.7,2,2,0
Amruta ,amruta@xyz.com,95%,"vidyalankar institute of technology, mumbai",,8.7,4,4,0
Snehal,snehal@xyz.com,95%,"s.i.e.s. graduate school of technology, nerul, navi mumbai",,6.5,3,3,0
Tanya,tanya@xyz.com,95%,g h raisoni institut of engineering and technology pune,,8.8,4,4,0
Elisha ,elisha@xyz.com,95%,government polytechnic gandhinagar,,9.3,5,5,0
ROHIT,rohit@xyz.com,95%,"b. k. birla college of arts, science & commerce (autonomous), kalyan",,7.6,4,4,0
Akash,akash@xyz.com,95%,"vishwakarma institute of technology, pune",,6.5,4,4,0
EREM,erem@xyz.com,95%,New horizon institute of Technology and Management ,,8.7,2,2,0
Ganesh,ganesh@xyz.com,95%,Late G. N. Sapkal College Of Engineering,,9.1,2,2,0
Japesh,japesh@xyz.com,95%,"Symbiosis Institute of Technology, Pune",,9.2,5,5,0
Deepak,deepak@xyz.com,95%,"MIT Academy Of Engineering ,Alandi",,7.3,2,2,0
Iteeksha,iteeksha@xyz.com,95%,A. C. Patil College of Engineering,,7.6,3,3,0
yugesh,yugesh@xyz.com,95%,Wilson college ,,7.1,4,4,0
Iteeksha,iteeksha@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,8.3,2,2,0
Shraddha,shraddha@xyz.com,95%,DKTE Society's Textile And Engineering Institute Ichalkaranji,,9.2,3,3,0
Nikhil,nikhil@xyz.com,95%,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",,9.9,4,4,0
Shubham,shubham@xyz.com,95%,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE NAVI MUMBAI,,9.3,2,2,0
Shardul,shardul@xyz.com,95%,"Priyadarshini college of engineering, Nagpur ",,7.1,4,4,0
Akash ,akash@xyz.com,95%,"Vidyalankar Institute of Technology, Mumbai",,7.5,4,4,0
Sandeep,sandeep@xyz.com,95%,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,,7.3,3,3,0
vaibhav,vaibhav@xyz.com,95%,Silicon Institute of Technology,,7.4,3,3,0
Richa,richa@xyz.com,95%,ADHIYAMAAN COLLEGE OF ENGINEERING,,8.3,5,5,0
Jayanti ,jayanti@xyz.com,95%,Don Bosco College of Engineering Fatorda Goa,,7.4,4,4,0
Prasfur,prasfur@xyz.com,95%,Pillai College of Engineering New Panvel,,6.7,5,5,0
Reyan ,reyan@xyz.com,95%,St Xavier's College ,,7.3,2,2,0
Alisha,alisha@xyz.com,95%,"Vidyalankar Institute of Technology, Mumbai",,9.7,5,5,0
Rutuja ,rutuja@xyz.com,95%,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",,7.9,3,3,0
Alfiya ,alfiya@xyz.com,95%,G H Raisoni institut of engineering and technology pune,,7.2,5,5,0
Vitthal ,vitthal@xyz.com,95%,GOVERNMENT POLYTECHNIC GANDHINAGAR,,7.1,5,5,0
Jeevan,jeevan@xyz.com,95%,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",,8.7,2,2,0
Devanshi,devanshi@xyz.com,95%,"Vishwakarma Institute of Technology, Pune",,8.7,5,5,0
Ashwini ,ashwini@xyz.com,95%,"KLE Society's College of BCA, RLS Institute, Belagavi",,8.2,5,5,0
Mohammad Jaid,mohammadjaid@xyz.com,95%,G H Raisoni institut of engineering and technology pune,,6.8,3,3,0
Unzela,unzela@xyz.com,95%,GOVERNMENT POLYTECHNIC GANDHINAGAR,,7.1,2,2,0
Sairam,sairam@xyz.com,95%,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",,8.5,3,3,0
Prajval ,prajval@xyz.com,95%,"Vishwakarma Institute of Technology, Pune",,9.1,3,3,0
Yash,yash@xyz.com,95%,"KLE Society's College of BCA, RLS Institute, Belagavi",,9.5,2,2,0
Shruti,shruti@xyz.com,95%,"Priyadarshini college of engineering, Nagpur ",,6.7,2,2,0
Kayvan ,kayvan@xyz.com,95%,St.Francis Institute of Technology,,6.7,2,2,0
Vaibhavi,vaibhavi@xyz.com,95%,New horizon institute of Technology and Management ,,8.2,2,2,0
saish,saish@xyz.com,95%,Late G. N. Sapkal College Of Engineering,,6.5,3,3,0
Gloria,gloria@xyz.com,95%,"Symbiosis Institute of Technology, Pune",,8.7,5,5,0
Stuti,stuti@xyz.com,95%,"MIT Academy Of Engineering ,Alandi",,9.1,3,3,0
Rupesh,rupesh@xyz.com,95%,A. C. Patil College of Engineering,,8.9,3,3,0
Yashika,yashika@xyz.com,95%,Wilson college ,,7.4,4,4,0
Kalpesh,kalpesh@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,7.3,2,2,0
Prince,prince@xyz.com,95%,DKTE Society's Textile And Engineering Institute Ichalkaranji,,8.6,4,4,0
Sahil,sahil@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,9.2,5,5,0
Khuzaima,khuzaima@xyz.com,95%,G H Raisoni institut of engineering and technology pune,,7.8,3,3,0
Payal,payal@xyz.com,95%,GOVERNMENT POLYTECHNIC GANDHINAGAR,,7.9,4,4,0
Agam,agam@xyz.com,95%,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",,9.9,5,5,0
AARTI,aarti@xyz.com,95%,"Vishwakarma Institute of Technology, Pune",,8.1,3,3,0
Rushikesh,rushikesh@xyz.com,95%,"KLE Society's College of BCA, RLS Institute, Belagavi",,9.5,4,4,0
Aditya,aditya@xyz.com,95%,"Priyadarshini college of engineering, Nagpur ",,9.8,2,2,0
Anand,anand@xyz.com,95%,St.Francis Institute of Technology,,9.6,3,3,0
Kesari,kesari@xyz.com,95%,New horizon institute of Technology and Management ,,9.6,2,2,0
Akash,akash@xyz.com,95%,Late G. N. Sapkal College Of Engineering,,6.2,4,4,0
Charvin,charvin@xyz.com,95%,"Symbiosis Institute of Technology, Pune",,9.1,2,2,0
Bhavika,bhavika@xyz.com,95%,"MIT Academy Of Engineering ,Alandi",,7.2,2,2,0
Ayush,ayush@xyz.com,95%,A. C. Patil College of Engineering,,9.5,2,2,0
vishal,vishal@xyz.com,95%,Wilson college ,,6.8,3,3,0
Abhishek ,abhishek@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,8.4,5,5,0
Pawan,pawan@xyz.com,95%,DKTE Society's Textile And Engineering Institute Ichalkaranji,,9.9,4,4,0
SHivam,shivam@xyz.com,95%,"Priyadarshini college of engineering, Nagpur ",,6.6,5,5,0
Abhishek,abhishek@xyz.com,95%,"Vidyalankar Institute of Technology, Mumbai",,6.7,4,4,0
Vasundhara,vasundhara@xyz.com,95%,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,,7.6,3,3,0
ashwini,ashwini@xyz.com,95%,Silicon Institute of Technology,,8.3,4,4,0
Manita,manita@xyz.com,95%,ADHIYAMAAN COLLEGE OF ENGINEERING,,6.3,3,3,0
Avinash,avinash@xyz.com,95%,Don Bosco College of Engineering Fatorda Goa,,8.9,5,5,0
Aniket,aniket@xyz.com,95%,Pillai College of Engineering New Panvel,,9.5,4,4,0
Neha,neha@xyz.com,95%,St Xavier's College ,,8.5,3,3,0
Salman,salman@xyz.com,95%,"Vidyalankar Institute of Technology, Mumbai",,8.5,5,5,0
